Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-0.812,0.1084,0.0,41.89236121161956
-0.81,0.1453467,0.0,41.89236121161956
-0.808,0.14556,0.0,41.89236121161956
-0.806,0.1085067,0.0,41.89236121161956
-0.804,0.1084,0.0,41.89236121161956
-0.802,0.1438333,0.0,41.89236121161956
-0.8,0.1451267,0.0,41.89236121161956
-0.798,0.1143267,0.0,41.89236121161956
-0.796,0.1177733,0.0,41.89236121161956
-0.794,0.1081867,0.0,41.89236121161956
-0.792,0.1082933,0.0,41.89236121161956
-0.79,0.1462067,0.0,41.89236121161956
-0.788,0.1463133,0.0,41.89236121161956
-0.786,0.1084,0.0,41.89236121161956
-0.784,0.1081867,0.0,41.89236121161956
-0.782,0.1449133,0.0,41.89236121161956
-0.78,0.14556,0.0,41.89236121161956
-0.778,0.1138933,0.0,41.89236121161956
-0.776,0.11766,0.0,41.89236121161956
-0.774,0.1081867,0.0,41.89236121161956
-0.772,0.10808,0.0,41.89236121161956
-0.77,0.14448,0.0,41.89236121161956
-0.768,0.14588,0.0,41.89236121161956
-0.766,0.1085067,0.0,41.89236121161956
-0.764,0.10808,0.0,41.89236121161956
-0.762,0.1439467,0.0,41.89236121161956
-0.76,0.1459933,0.0,41.89236121161956
-0.758,0.1137867,0.0,41.89236121161956
-0.756,0.1175533,0.0,41.89236121161956
-0.754,0.1081867,0.0,41.89236121161956
-0.752,0.1086133,0.0,41.89236121161956
-0.75,0.14556,0.0,41.89236121161956
-0.748,0.1447,0.0,41.89236121161956
-0.746,0.10808,0.0,41.89236121161956
-0.744,0.10808,0.0,41.89236121161956
-0.742,0.1452333,0.0,41.89236121161956
-0.74,0.1443733,0.0,41.89236121161956
-0.738,0.11368,0.0,41.89236121161956
-0.736,0.1175533,0.0,41.89236121161956
-0.734,0.1084,0.0,41.89236121161956
-0.732,0.10872,0.0,41.89236121161956
-0.73,0.1453467,0.0,41.89236121161956
-0.728,0.14588,0.0,41.89236121161956
-0.726,0.1084,0.0,41.89236121161956
-0.724,0.1079667,0.0,41.89236121161956
-0.722,0.1437267,0.0,41.89236121161956
-0.72,0.14448,0.0,41.89236121161956
-0.718,0.1132467,0.0,41.89236121161956
-0.716,0.1174467,0.0,41.89236121161956
-0.714,0.1081867,0.0,41.89236121161956
-0.712,0.1079667,0.0,41.89236121161956
-0.71,0.1453467,0.0,41.89236121161956
-0.708,0.14556,0.0,41.89236121161956
-0.706,0.1081867,0.0,41.89236121161956
-0.704,0.10786,0.0,41.89236121161956
-0.702,0.1437267,0.0,41.89236121161956
-0.7,0.1476067,0.0,41.89236121161956
-0.698,0.114,0.0,41.89236121161956
-0.696,0.1175533,0.0,41.89236121161956
-0.694,0.1081867,0.0,41.89236121161956
-0.692,0.1084,0.0,41.89236121161956
-0.69,0.1452333,0.0,41.89236121161956
-0.688,0.1457733,0.0,41.89236121161956
-0.6859999999999999,0.1084,0.0,41.89236121161956
-0.6839999999999999,0.1082933,0.0,41.89236121161956
-0.6819999999999999,0.1447,0.0,41.89236121161956
-0.6799999999999999,0.1447,0.0,41.89236121161956
-0.6779999999999999,0.1138933,0.0,41.89236121161956
-0.6759999999999999,0.1175533,0.0,41.89236121161956
-0.6739999999999999,0.10808,0.0,41.89236121161956
-0.6719999999999999,0.1079667,0.0,41.89236121161956
-0.6699999999999999,0.14502,0.0,41.89236121161956
-0.6679999999999999,0.1484667,0.0,41.89236121161956
-0.6659999999999999,0.1085067,0.0,41.89236121161956
-0.6639999999999999,0.10808,0.0,41.89236121161956
-0.6619999999999999,0.1453467,0.0,41.89236121161956
-0.6599999999999999,0.14642,0.0,41.89236121161956
-0.6579999999999999,0.1141067,0.0,41.89236121161956
-0.6559999999999999,0.11734,0.0,41.89236121161956
-0.6539999999999999,0.10808,0.0,41.89236121161956
-0.6519999999999999,0.10872,0.0,41.89236121161956
-0.6499999999999999,0.1452333,0.0,41.89236121161956
-0.6479999999999999,0.14416,0.0,41.89236121161956
-0.6459999999999999,0.1084,0.0,41.89236121161956
-0.6439999999999999,0.1081867,0.0,41.89236121161956
-0.6419999999999999,0.1433,0.0,41.89236121161956
-0.6399999999999999,0.1456667,0.0,41.89236121161956
-0.6379999999999999,0.1135733,0.0,41.89236121161956
-0.6359999999999999,0.1175533,0.0,41.89236121161956
-0.6339999999999999,0.1081867,0.0,41.89236121161956
-0.6319999999999999,0.1086133,0.0,41.89236121161956
-0.6299999999999999,0.14696,0.0,41.89236121161956
-0.6279999999999999,0.1451267,0.0,41.89236121161956
-0.6259999999999999,0.1086133,0.0,41.89236121161956
-0.6239999999999999,0.1081867,0.0,41.89236121161956
-0.6219999999999999,0.14362,0.0,41.89236121161956
-0.6199999999999999,0.1461,0.0,41.89236121161956
-0.6179999999999999,0.1143267,0.0,41.89236121161956
-0.6159999999999999,0.11766,0.0,41.89236121161956
-0.6139999999999999,0.10808,0.0,41.89236121161956
-0.6119999999999999,0.1084,0.0,41.89236121161956
-0.6099999999999999,0.14642,0.0,41.89236121161956
-0.6079999999999999,0.14642,0.0,41.89236121161956
-0.6059999999999999,0.1081867,0.0,41.89236121161956
-0.6039999999999999,0.1079667,0.0,41.89236121161956
-0.6019999999999999,0.1425467,0.0,41.89236121161956
-0.5999999999999999,0.1453467,0.0,41.89236121161956
-0.5979999999999999,0.11346,0.0,41.89236121161956
-0.5959999999999999,0.11734,0.0,41.89236121161956
-0.5939999999999999,0.1084,0.0,41.89236121161956
-0.5920000000000001,0.1084,0.0,41.89236121161956
-0.5900000000000001,0.14642,0.0,41.89236121161956
-0.5880000000000001,0.1479267,0.0,41.89236121161956
-0.5860000000000001,0.1081867,0.0,41.89236121161956
-0.5840000000000001,0.1077533,0.0,41.89236121161956
-0.5820000000000001,0.14448,0.0,41.89236121161956
-0.5800000000000001,0.14696,0.0,41.89236121161956
-0.5780000000000001,0.1135733,0.0,41.89236121161956
-0.5760000000000001,0.11734,0.0,41.89236121161956
-0.5740000000000001,0.1079667,0.0,41.89236121161956
-0.5720000000000001,0.1086133,0.0,41.89236121161956
-0.5700000000000001,0.1453467,0.0,41.89236121161956
-0.5680000000000001,0.14416,0.0,41.89236121161956
-0.5660000000000001,0.1082933,0.0,41.89236121161956
-0.5640000000000001,0.1081867,0.0,41.89236121161956
